prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,4096,31.936000000000003
0,0,1,4096,32.223
0,0,1,4096,32.384
0,0,1,4096,32.192
0,0,1,4096,32.192
0,0,1,4096,32.352000000000004
0,0,1,4096,31.968000000000004
0,0,1,4096,31.584000000000003
0,0,1,4096,31.904000000000003
0,0,1,4096,32.545
0,0,1,4096,32.032000000000004
0,0,1,4096,31.840000000000003
0,0,1,4096,32.160000000000004
0,0,1,4096,32.001000000000005
0,0,1,4096,32.513000000000005
0,0,1,4096,31.904000000000003
0,0,1,4096,32.257
0,0,1,4096,32.128
0,0,1,4096,32.448
0,0,1,16384,87.42399999999999
0,0,1,16384,86.305
0,0,1,16384,87.52
0,0,1,16384,85.697
0,0,1,16384,86.65800000000002
0,0,1,16384,86.30300000000001
0,0,1,16384,87.361
0,0,1,16384,87.32800000000002
0,0,1,16384,86.56200000000001
0,0,1,16384,86.78500000000001
0,0,1,16384,86.72099999999999
0,0,1,16384,87.20100000000002
0,0,1,16384,85.85700000000001
0,0,1,16384,86.53
0,0,1,16384,85.921
0,0,1,16384,87.00800000000001
0,0,1,16384,86.11099999999999
0,0,1,16384,85.504
0,0,1,16384,86.783
0,0,1,16384,85.855
0,0,1,16384,87.10399999999998
0,0,1,16384,86.241
0,0,1,16384,85.887
0,0,1,16384,86.847
0,0,1,16384,86.75200000000001
0,0,1,16384,86.848
0,0,1,16384,86.018
0,0,1,16384,86.30499999999998
0,0,1,16384,86.20800000000001
0,0,1,16384,86.14399999999999
0,0,1,16384,86.463
0,0,1,16384,87.77699999999999
0,0,1,16384,86.75200000000001
0,0,1,16384,86.94500000000001
0,0,1,16384,85.536
0,0,1,16384,87.64800000000001
0,0,1,16384,85.761
0,0,1,16384,85.76
0,0,1,16384,87.10399999999998
0,0,1,16384,86.01700000000001
0,0,1,16384,85.729
0,0,1,16384,86.17599999999999
0,0,1,16384,86.497
0,0,1,16384,86.049
0,0,1,16384,86.75399999999999
0,0,1,16384,86.207
0,0,1,16384,85.69599999999998
0,0,1,16384,85.664
0,0,1,16384,86.944
0,0,1,16384,86.72000000000001
0,0,1,16384,86.08200000000001
0,0,1,16384,86.88099999999999
0,0,1,16384,85.888
0,0,1,16384,86.497
0,0,1,16384,86.305
0,0,1,16384,87.52000000000001
0,0,1,16384,86.719
0,0,1,16384,86.30499999999999
0,0,1,16384,86.113
0,0,1,16384,86.785
0,0,1,16384,85.697
0,0,1,16384,86.657
0,0,1,16384,87.04100000000001
0,0,1,16384,86.913
0,0,1,16384,86.01700000000001
0,0,1,16384,86.27299999999998
0,0,1,16384,86.273
0,0,1,16384,86.17599999999999
0,0,1,16384,87.20100000000001
0,0,1,16384,85.728
0,0,1,16384,86.07999999999998
0,0,1,16384,87.84000000000002
0,0,1,16384,86.145
0,0,1,16384,85.793
0,0,1,16384,88.096
0,0,1,16384,86.49600000000001
0,0,1,16384,86.049
0,0,1,16384,85.43999999999998
0,0,1,16384,87.36099999999999
0,0,1,16384,86.24099999999999
0,0,1,16384,86.112
0,0,1,16384,86.178
0,0,1,16384,85.92
0,0,1,16384,86.08
0,0,1,16384,85.79299999999999
0,0,1,16384,86.848
0,0,1,16384,86.401
0,0,1,16384,86.017
0,0,1,16384,85.95400000000001
0,0,1,16384,85.761
0,0,1,16384,87.295
0,0,1,16384,86.17800000000001
0,0,1,16384,86.178
0,0,1,16384,86.17699999999999
0,0,1,16384,85.952
0,0,1,16384,86.209
0,0,1,16384,86.36900000000001
0,0,1,16384,87.10499999999999
0,0,1,16384,85.88799999999999
0,0,1,16384,86.625
0,0,1,16384,86.017
0,0,1,16384,85.121
0,0,1,16384,86.08000000000001
0,0,1,16384,86.59299999999999
0,0,1,16384,87.553
